idema,nombre,provincia_id,latitud,longitud,altitud
1208H,"GIJÓN, PUERTO",33,43.55,-5.7,5
1210X,CABO PEÑAS,33,43.65,-5.8333,100
1212E,ASTURIAS AEROPUERTO,33,43.5667,-6.0333,127
1221D,PAJARES-VALGRANDE,33,42.9667,-5.7667,1480
1223P,"LENA, RONZÓN",33,43.1167,-5.8167,370
1226X,"ALLER, FELECHOSA",33,43.0833,-5.4667,750
1234P,"MIERES, BAIÑA",33,43.2667,-5.8167,170
1249I,OVIEDO,33,43.35,-5.8667,336
1249X,OVIEDO,33,43.35,-5.8667,334
1272B,"TINEO, SOUTU",33,43.2833,-6.3833,280
1276F,POLA DE SOMIEDO,33,43.1,-6.25,670
1279X,"SALAS, CAMUÑO",33,43.4167,-6.2167,240
1283U,CABO BUSTO,33,43.5667,-6.4667,60
1297E,CERVANTES,27,42.7667,-7.0167,1020
